taxonomy_id	ensembl_gene_id	symbol	gene_chrom_start	gene_chrom_end	chr_name	chrom_strand	description	type_of_gene
28377	ENSACAG00000000630		12866	17397	GL344228.1	-1		protein_coding
28377	ENSACAG00000000645		24689	40705	GL344228.1	1		protein_coding
28377	ENSACAG00000026445		321	18693	AAWZ02036974	1		protein_coding
28377	ENSACAG00000010423	PRLHR	80785	82599	GL343206.1	1	prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4464]	protein_coding
28377	ENSACAG00000026291		98139	99662	GL343206.1	1		protein_coding
28377	ENSACAG00000010374	FAM204A	387983	421736	GL343206.1	1	family with sequence similarity 204 member A [Source:HGNC Symbol;Acc:HGNC:25794]	protein_coding
28377	ENSACAG00000010360	RAB11FIP2	649407	679804	GL343206.1	1	RAB11 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29152]	protein_coding
28377	ENSACAG00000010339	EMX2	1109603	1135606	GL343206.1	-1	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	protein_coding
28377	ENSACAG00000010324	PDZD8	1305279	1361740	GL343206.1	1	PDZ domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26974]	protein_coding
28377	ENSACAG00000010212		1367534	1416159	GL343206.1	-1		protein_coding
28377	ENSACAG00000010205	KCNK18	1477628	1484176	GL343206.1	-1	potassium two pore domain channel subfamily K member 18 [Source:HGNC Symbol;Acc:HGNC:19439]	protein_coding
28377	ENSACAG00000010197	VAX1	1542686	1556634	GL343206.1	1	ventral anterior homeobox 1 [Source:HGNC Symbol;Acc:HGNC:12660]	protein_coding
28377	ENSACAG00000010155	SHTN1	1643108	1782709	GL343206.1	1	shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319]	protein_coding
28377	ENSACAG00000002747	ACTL9	5113	6469	AAWZ02038656	1	actin like 9 [Source:HGNC Symbol;Acc:HGNC:28494]	protein_coding
28377	ENSACAG00000005892		251	5387	AAWZ02038094	1		protein_coding
28377	ENSACAG00000004064		7308	31924	GL344348.1	-1		protein_coding
28377	ENSACAG00000013568		1827	5553	AAWZ02040641	1		protein_coding
28377	ENSACAG00000004065	RPL35	35529	37385	GL344348.1	-1	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	protein_coding
28377	ENSACAG00000010140	ENO4	1783094	1843630	GL343206.1	-1	enolase family member 4 [Source:HGNC Symbol;Acc:HGNC:31670]	protein_coding
28377	ENSACAG00000000224		7235	11818	AAWZ02038389	1		protein_coding
28377	ENSACAG00000002098		1007	21133	GL344413.1	1		protein_coding
28377	ENSACAG00000007943		3504	11698	AAWZ02038369	-1		protein_coding
28377	ENSACAG00000016565	CDKN3	198289	204508	GL343533.1	1	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	protein_coding
